;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-50,76;-163,56;7,84;4552308;-96,17;162,32;-19,66;4559856;146,25;-179,15;-2,8;4566224;150,83;175,97;15,41;4571984;-0,65;9,86;-7,56;4579044;0;7548;6368;5760;7060;26736;;
-50,76;-163,56;7,84;4685068;-96,17;162,32;-19,66;4691744;146,25;-179,15;-2,8;4697992;150,83;175,97;15,41;4705688;-0,65;9,86;-7,56;4711408;2491941;6676;6248;7696;5720;26340;;
-50,76;-163,56;7,84;4819672;-96,17;162,32;-19,66;4824924;146,25;-179,15;-2,8;4830796;150,83;175,97;15,41;4838384;-0,65;9,86;-7,56;4843840;2628586;5252;5872;7588;5456;24168;0,136645;7,318233378
-50,76;-163,56;7,84;4951396;-96,17;162,32;-19,66;4957792;146,25;-179,15;-2,8;4963512;150,83;175,97;15,41;4969676;-0,65;9,86;-7,56;4975560;2761034;6396;5720;6164;5884;24164;0,132448;7,550132882
-50,76;-163,56;7,84;5082408;-96,17;162,32;-19,66;5089428;146,25;-179,15;-2,8;5096932;150,83;175,97;15,41;5102680;-0,65;9,86;-7,56;5110592;2890150;7020;7504;5748;7912;28184;0,129116;7,744973512
-50,76;-163,56;7,84;5216244;-96,17;162,32;-19,66;5223672;146,25;-179,15;-2,8;5229092;150,83;175,97;15,41;5236900;-0,65;9,86;-7,56;5244200;3023911;7428;5420;7808;7300;27956;0,133761;7,476020664
-50,76;-163,56;7,84;5352064;-96,17;162,32;-19,66;5357772;146,25;-179,15;-2,8;5363196;150,83;175,97;15,41;5369728;-0,65;9,86;-7,56;5376008;3161078;5708;5424;6532;6280;23944;0,137167;7,290383255
-50,76;-163,56;7,84;5482552;-96,17;162,32;-19,66;5488236;146,25;-179,15;-2,8;5495976;150,83;175,97;15,41;5501296;-0,65;9,86;-7,56;5507316;3291566;5684;7740;5320;6020;24764;0,130488;7,663539942
-50,76;-163,56;7,84;5614584;-96,17;162,32;-19,66;5621368;146,25;-179,15;-2,8;5628044;150,83;175,97;15,41;5633900;-0,65;9,86;-7,56;5639340;3422989;6784;6676;5856;5440;24756;0,131423;7,609018208
-50,76;-163,56;7,84;5745860;-96,17;162,32;-19,66;5753208;146,25;-179,15;-2,8;5759180;150,83;175,97;15,41;5766184;-0,65;9,86;-7,56;5772084;3554194;7348;5972;7004;5900;26224;0,131205;7,62166076
-50,76;-163,56;7,84;5877772;-96,17;162,32;-19,66;5883292;146,25;-179,15;-2,8;5889076;150,83;175,97;15,41;5894392;-0,65;9,86;-7,56;5900596;3685705;5520;5784;5316;6204;22824;0,131511;7,603926668
-50,76;-163,56;7,84;6007084;-96,17;162,32;-19,66;6014636;146,25;-179,15;-2,8;6020052;150,83;175,97;15,41;6027724;-0,65;9,86;-7,56;6033588;3816446;7552;5416;7672;5864;26504;0,130741;7,648710045
-50,76;-163,56;7,84;6138900;-96,17;162,32;-19,66;6146468;146,25;-179,15;-2,8;6152452;150,83;175,97;15,41;6160104;-0,65;9,86;-7,56;6167236;3947214;7568;5984;7652;7132;28336;0,130768;7,647130797
-50,76;-163,56;7,84;6274136;-96,17;162,32;-19,66;6279956;146,25;-179,15;-2,8;6287612;150,83;175,97;15,41;6292936;-0,65;9,86;-7,56;6300892;4081544;5820;7656;5324;7956;26756;0,13433;7,444353458
