;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-51,09;-163,53;7,91;7963016;-96,12;162,34;-19,61;7968372;143,96;-179,09;-2,81;7974204;151,2;176,02;15,41;7981568;-0,65;9,8;-7,59;7987548;5764427;5356;5832;7364;5980;24532;0,130073;7,68799059
-51,09;-163,53;7,91;8094308;-96,12;162,34;-19,61;8099972;143,96;-179,09;-2,81;8106672;151,2;176,02;15,41;8114324;-0,65;9,8;-7,59;8119740;5896479;5664;6700;7652;5416;25432;0,132052;7,572774362
-51,09;-163,53;7,91;8225900;-96,12;162,34;-19,61;8232536;143,96;-179,09;-2,81;8240204;151,2;176,02;15,41;8246300;-0,65;9,8;-7,59;8252160;6028597;6636;7668;6096;5860;26260;0,132118;7,568991356
-51,09;-163,53;7,91;8357368;-96,12;162,34;-19,61;8364928;143,96;-179,09;-2,81;8371692;151,2;176,02;15,41;8377000;-0,65;9,8;-7,59;8382848;6159699;7560;6764;5308;5848;25480;0,131102;7,627648701
-51,09;-163,53;7,91;8488088;-96,12;162,34;-19,61;8493332;143,96;-179,09;-2,81;8501028;151,2;176,02;15,41;8506740;-0,65;9,8;-7,59;8512140;6290309;5244;7696;5712;5400;24052;0,13061;7,656381594
-51,09;-163,53;7,91;8617956;-96,12;162,34;-19,61;8624864;143,96;-179,09;-2,81;8631844;151,2;176,02;15,41;8637228;-0,65;9,8;-7,59;8642872;6420724;6908;6980;5384;5644;24916;0,130415;7,667829621
-51,09;-163,53;7,91;8748652;-96,12;162,34;-19,61;8755740;143,96;-179,09;-2,81;8762548;151,2;176,02;15,41;8767856;-0,65;9,8;-7,59;8773828;6551721;7088;6808;5308;5972;25176;0,130997;7,633762605
-51,09;-163,53;7,91;8879388;-96,12;162,34;-19,61;8886724;143,96;-179,09;-2,81;8892892;151,2;176,02;15,41;8898196;-0,65;9,8;-7,59;8904312;6681577;7336;6168;5304;6116;24924;0,129856;7,700837851
-51,09;-163,53;7,91;9010072;-96,12;162,34;-19,61;9017516;143,96;-179,09;-2,81;9023324;151,2;176,02;15,41;9028632;-0,65;9,8;-7,59;9035124;6810963;7444;5808;5308;6492;25052;0,129386;7,728811463
-51,09;-163,53;7,91;9140876;-96,12;162,34;-19,61;9146428;143,96;-179,09;-2,81;9152904;151,2;176,02;15,41;9158216;-0,65;9,8;-7,59;9165380;6941777;5552;6476;5312;7164;24504;0,130814;7,644441726
