;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-50,85;-163,57;7,85;4552936;-96,23;162,34;-19,66;4560764;145,39;-179,11;-2,85;4567220;150,63;175,97;15,31;4573104;-0,65;9,83;-7,59;4580428;0;7828;6456;5884;7324;27492;;
-50,85;-163,57;7,85;4688100;-96,23;162,34;-19,66;4694500;145,39;-179,11;-2,85;4700036;150,63;175,97;15,31;4708168;-0,65;9,83;-7,59;4713748;2488632;6400;5536;8132;5580;25648;;
-50,85;-163,57;7,85;4821236;-96,23;162,34;-19,66;4826568;145,39;-179,11;-2,85;4832520;150,63;175,97;15,31;4839984;-0,65;9,83;-7,59;4845552;2620114;5332;5952;7464;5568;24316;0,131482;7,605603809
-50,85;-163,57;7,85;4952168;-96,23;162,34;-19,66;4957792;145,39;-179,11;-2,85;4963320;150,63;175,97;15,31;4970344;-0,65;9,83;-7,59;4976108;2751904;5624;5528;7024;5764;23940;0,13179;7,587829122
-50,85;-163,57;7,85;5082720;-96,23;162,34;-19,66;5088364;145,39;-179,11;-2,85;5096020;150,63;175,97;15,31;5101804;-0,65;9,83;-7,59;5107804;2883099;5644;7656;5784;6000;25084;0,131195;7,622241701
-50,85;-163,57;7,85;5213844;-96,23;162,34;-19,66;5219616;145,39;-179,11;-2,85;5227448;150,63;175,97;15,31;5232888;-0,65;9,83;-7,59;5238892;3013041;5772;7832;5440;6004;25048;0,129942;7,695741177
-50,85;-163,57;7,85;5344752;-96,23;162,34;-19,66;5350524;145,39;-179,11;-2,85;5358320;150,63;175,97;15,31;5364208;-0,65;9,83;-7,59;5370212;3144162;5772;7796;5888;6004;25460;0,131121;7,626543422
-50,85;-163,57;7,85;5475716;-96,23;162,34;-19,66;5481060;145,39;-179,11;-2,85;5488796;150,63;175,97;15,31;5494240;-0,65;9,83;-7,59;5499820;3276214;5344;7736;5444;5580;24104;0,132052;7,572774362
-50,85;-163,57;7,85;5605688;-96,23;162,34;-19,66;5611476;145,39;-179,11;-2,85;5618516;150,63;175,97;15,31;5624196;-0,65;9,83;-7,59;5630128;3406128;5788;7040;5680;5932;24440;0,129914;7,697399818
-50,85;-163,57;7,85;5736088;-96,23;162,34;-19,66;5741876;145,39;-179,11;-2,85;5749328;150,63;175,97;15,31;5755228;-0,65;9,83;-7,59;5761148;3537970;5788;7452;5900;5920;25060;0,131842;7,584836395
-50,85;-163,57;7,85;5866836;-96,23;162,34;-19,66;5872600;145,39;-179,11;-2,85;5879748;150,63;175,97;15,31;5885648;-0,65;9,83;-7,59;5891808;3668226;5764;7148;5900;6160;24972;0,130256;7,677189534
-50,85;-163,57;7,85;5997508;-96,23;162,34;-19,66;6003276;145,39;-179,11;-2,85;6010336;150,63;175,97;15,31;6016360;-0,65;9,83;-7,59;6022648;3796405;5768;7060;6024;6288;25140;0,128179;7,801589964
-50,85;-163,57;7,85;6128324;-96,23;162,34;-19,66;6133656;145,39;-179,11;-2,85;6140472;150,63;175,97;15,31;6145928;-0,65;9,83;-7,59;6153248;3928539;5332;6816;5456;7320;24924;0,132134;7,568074833
-50,85;-163,57;7,85;6258760;-96,23;162,34;-19,66;6264524;145,39;-179,11;-2,85;6270988;150,63;175,97;15,31;6277392;-0,65;9,83;-7,59;6284220;4058569;5764;6464;6404;6828;25460;0,13003;7,690532954
-50,85;-163,57;7,85;6389568;-96,23;162,34;-19,66;6395336;145,39;-179,11;-2,85;6401456;150,63;175,97;15,31;6408136;-0,65;9,83;-7,59;6415156;4190400;5768;6120;6680;7020;25588;0,131831;7,585469275
-50,85;-163,57;7,85;6520504;-96,23;162,34;-19,66;6526296;145,39;-179,11;-2,85;6532048;150,63;175,97;15,31;6539076;-0,65;9,83;-7,59;6546228;4320694;5792;5752;7028;7152;25724;0,130294;7,674950497
-50,85;-163,57;7,85;6652024;-96,23;162,34;-19,66;6658940;145,39;-179,11;-2,85;6664480;150,63;175,97;15,31;6672152;-0,65;9,83;-7,59;6678268;4450765;6916;5540;7672;6116;26244;0,130071;7,688108802
-50,85;-163,57;7,85;6783616;-96,23;162,34;-19,66;6788964;145,39;-179,11;-2,85;6795080;150,63;175,97;15,31;6801652;-0,65;9,83;-7,59;6808608;4585530;5348;6116;6572;6956;24992;0,134765;7,420324268
-50,85;-163,57;7,85;6915180;-96,23;162,34;-19,66;6922876;145,39;-179,11;-2,85;6930560;150,63;175,97;15,31;6936004;-0,65;9,83;-7,59;6941944;4716737;7696;7684;5444;5940;26764;0,131207;7,621544582
-50,85;-163,57;7,85;7049516;-96,23;162,34;-19,66;7055804;145,39;-179,11;-2,85;7062220;150,63;175,97;15,31;7068368;-0,65;9,83;-7,59;7074704;4852254;6288;6416;6148;6336;25188;0,135517;7,379148004
-50,85;-163,57;7,85;7181424;-96,23;162,34;-19,66;7187200;145,39;-179,11;-2,85;7192824;150,63;175,97;15,31;7198268;-0,65;9,83;-7,59;7204292;4986176;5776;5624;5444;6024;22868;0,133922;7,467033049
-50,85;-163,57;7,85;7311352;-96,23;162,34;-19,66;7317308;145,39;-179,11;-2,85;7322952;150,63;175,97;15,31;7329540;-0,65;9,83;-7,59;7335552;5111094;5956;5644;6588;6012;24200;0,124918;8,005251445
-50,85;-163,57;7,85;7442156;-96,23;162,34;-19,66;7448068;145,39;-179,11;-2,85;7453616;150,63;175,97;15,31;7460596;-0,65;9,83;-7,59;7466176;5241828;5912;5548;6980;5580;24020;0,130734;7,649119586
-50,85;-163,57;7,85;7572760;-96,23;162,34;-19,66;7578700;145,39;-179,11;-2,85;7584692;150,63;175,97;15,31;7592888;-0,65;9,83;-7,59;7599728;5373632;5940;5992;8196;6840;26968;0,131804;7,587023156
-50,85;-163,57;7,85;7705076;-96,23;162,34;-19,66;7710416;145,39;-179,11;-2,85;7715948;150,63;175,97;15,31;7723624;-0,65;9,83;-7,59;7730104;5507549;5340;5532;7676;6480;25028;0,133917;7,467311842
-50,85;-163,57;7,85;7835448;-96,23;162,34;-19,66;7840792;145,39;-179,11;-2,85;7847920;150,63;175,97;15,31;7854536;-0,65;9,83;-7,59;7860940;5638361;5344;7128;6616;6404;25492;0,130812;7,644558603
-50,85;-163,57;7,85;7966472;-96,23;162,34;-19,66;7972104;145,39;-179,11;-2,85;7980320;150,63;175,97;15,31;7986320;-0,65;9,83;-7,59;7993644;5769058;5632;8216;6000;7324;27172;0,130697;7,651285033
-50,85;-163,57;7,85;8100680;-96,23;162,34;-19,66;8108536;145,39;-179,11;-2,85;8114076;150,63;175,97;15,31;8120452;-0,65;9,83;-7,59;8127500;5902364;7856;5540;6376;7048;26820;0,133306;7,501537815
-50,85;-163,57;7,85;8234984;-96,23;162,34;-19,66;8241572;145,39;-179,11;-2,85;8248908;150,63;175,97;15,31;8255420;-0,65;9,83;-7,59;8261060;6037062;6588;7336;6512;5640;26076;0,134698;7,424015204
-50,85;-163,57;7,85;8366772;-96,23;162,34;-19,66;8372512;145,39;-179,11;-2,85;8380652;150,63;175,97;15,31;8386776;-0,65;9,83;-7,59;8392356;6167886;5740;8140;6124;5580;25584;0,130824;7,643857396
-50,85;-163,57;7,85;8497688;-96,23;162,34;-19,66;8503284;145,39;-179,11;-2,85;8511204;150,63;175,97;15,31;8517236;-0,65;9,83;-7,59;8523228;6299810;5596;7920;6032;5992;25540;0,131924;7,580121888
-50,85;-163,57;7,85;8628580;-96,23;162,34;-19,66;8633984;145,39;-179,11;-2,85;8641672;150,63;175,97;15,31;8647836;-0,65;9,83;-7,59;8653948;6430042;5404;7688;6164;6112;25368;0,130232;7,678604337
-50,85;-163,57;7,85;8759292;-96,23;162,34;-19,66;8764648;145,39;-179,11;-2,85;8771080;150,63;175,97;15,31;8777312;-0,65;9,83;-7,59;8784044;6561050;5356;6432;6232;6732;24752;0,131008;7,633121641
