;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-37,59;-162,08;6,14;4553112;-104,58;164,28;-20,24;4559964;99,37;-177,58;-2,85;4565912;151,48;176,15;15,08;4571600;-0,6;10,19;-6,74;4579448;0;6852;5948;5688;7848;26336;;
-37,59;-162,08;6,14;4685620;-104,58;164,28;-20,24;4691492;99,37;-177,58;-2,85;4698420;151,48;176,15;15,08;4705780;-0,6;10,19;-6,74;4712000;2482949;5872;6928;7360;6220;26380;;
-37,59;-162,08;6,14;4819940;-104,58;164,28;-20,24;4825224;99,37;-177,58;-2,85;4830760;151,48;176,15;15,08;4838240;-0,6;10,19;-6,74;4843880;2615934;5284;5536;7480;5640;23940;0,132985;7,519645073
-37,59;-162,08;6,14;4951316;-104,58;164,28;-20,24;4958960;99,37;-177,58;-2,85;4964772;151,48;176,15;15,08;4970440;-0,6;10,19;-6,74;4976380;2746046;7644;5812;5668;5940;25064;0,130112;7,685686178
-37,59;-162,08;6,14;5082732;-104,58;164,28;-20,24;5090492;99,37;-177,58;-2,85;5098188;151,48;176,15;15,08;5104796;-0,6;10,19;-6,74;5112768;2879011;7760;7696;6608;7972;30036;0,132965;7,520776144
-37,59;-162,08;6,14;5220472;-104,58;164,28;-20,24;5225764;99,37;-177,58;-2,85;5231552;151,48;176,15;15,08;5239360;-0,6;10,19;-6,74;5246172;3017355;5292;5788;7808;6812;25700;0,138344;7,228358295
-37,59;-162,08;6,14;5353184;-104,58;164,28;-20,24;5361108;99,37;-177,58;-2,85;5367444;151,48;176,15;15,08;5373176;-0,6;10,19;-6,74;5378792;3149023;7924;6336;5732;5616;25608;0,131668;7,594859799
-37,59;-162,08;6,14;5484752;-104,58;164,28;-20,24;5492292;99,37;-177,58;-2,85;5499220;151,48;176,15;15,08;5506196;-0,6;10,19;-6,74;5513156;3280597;7540;6928;6976;6960;28404;0,131574;7,600285771
-37,59;-162,08;6,14;5619388;-104,58;164,28;-20,24;5625456;99,37;-177,58;-2,85;5630988;151,48;176,15;15,08;5638880;-0,6;10,19;-6,74;5647052;3415276;6068;5532;7892;8172;27664;0,134679;7,425062556
-37,59;-162,08;6,14;5754380;-104,58;164,28;-20,24;5761784;99,37;-177,58;-2,85;5768692;151,48;176,15;15,08;5774676;-0,6;10,19;-6,74;5780768;3550835;7404;6908;5984;6092;26388;0,135559;7,376861735
-37,59;-162,08;6,14;5886580;-104,58;164,28;-20,24;5894120;99,37;-177,58;-2,85;5900272;151,48;176,15;15,08;5908020;-0,6;10,19;-6,74;5913948;3681980;7540;6152;7748;5928;27368;0,131145;7,625147737
-37,59;-162,08;6,14;6019624;-104,58;164,28;-20,24;6026460;99,37;-177,58;-2,85;6032188;151,48;176,15;15,08;6039792;-0,6;10,19;-6,74;6046084;3817049;6836;5728;7604;6292;26460;0,135069;7,403623333
-37,59;-162,08;6,14;6153444;-104,58;164,28;-20,24;6158728;99,37;-177,58;-2,85;6164252;151,48;176,15;15,08;6171152;-0,6;10,19;-6,74;6177956;3950079;5284;5524;6900;6804;24512;0,13303;7,517101406
-37,59;-162,08;6,14;6283636;-104,58;164,28;-20,24;6288928;99,37;-177,58;-2,85;6296148;151,48;176,15;15,08;6302048;-0,6;10,19;-6,74;6307556;4079058;5292;7220;5900;5508;23920;0,128979;7,753200133
-37,59;-162,08;6,14;6415340;-104,58;164,28;-20,24;6421072;99,37;-177,58;-2,85;6428868;151,48;176,15;15,08;6434592;-0,6;10,19;-6,74;6442764;4212291;5732;7796;5724;8172;27424;0,133233;7,505648
-37,59;-162,08;6,14;6548720;-104,58;164,28;-20,24;6556580;99,37;-177,58;-2,85;6562108;151,48;176,15;15,08;6569852;-0,6;10,19;-6,74;6576384;4345450;7860;5528;7744;6532;27664;0,133159;7,509819088
-37,59;-162,08;6,14;6681636;-104,58;164,28;-20,24;6688388;99,37;-177,58;-2,85;6694608;151,48;176,15;15,08;6701552;-0,6;10,19;-6,74;6707844;4479992;6752;6220;6944;6292;26208;0,134542;7,43262327
-37,59;-162,08;6,14;6814308;-104,58;164,28;-20,24;6820308;99,37;-177,58;-2,85;6828380;151,48;176,15;15,08;6833692;-0,6;10,19;-6,74;6839204;4611705;6000;8072;5312;5512;24896;0,131713;7,592265
-37,59;-162,08;6,14;6946380;-104,58;164,28;-20,24;6951668;99,37;-177,58;-2,85;6959500;151,48;176,15;15,08;6965220;-0,6;10,19;-6,74;6970736;4742705;5288;7832;5720;5516;24356;0,131;7,633587786
-37,59;-162,08;6,14;7078696;-104,58;164,28;-20,24;7083984;99,37;-177,58;-2,85;7090784;151,48;176,15;15,08;7096104;-0,6;10,19;-6,74;7101620;4876655;5288;6800;5320;5516;22924;0,13395;7,465472191
-37,59;-162,08;6,14;7209168;-104,58;164,28;-20,24;7214868;99,37;-177,58;-2,85;7221332;151,48;176,15;15,08;7228112;-0,6;10,19;-6,74;7234064;5007831;5700;6464;6780;5952;24896;0,131176;7,623345734
