;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-52,7;-163,63;8,15;4553452;-96,77;162,5;-19,67;4560328;150,7;-179,22;-3;4566504;148,71;175,72;15,22;4571880;-0,65;9,83;-7,51;4579700;0;6876;6176;5376;7820;26248;;
-52,7;-163,63;8,15;4685364;-96,77;162,5;-19,67;4691480;150,7;-179,22;-3;4698524;148,71;175,72;15,22;4704872;-0,65;9,83;-7,51;4712032;2479645;6116;7044;6348;7160;26668;;
-52,7;-163,63;8,15;4819924;-96,77;162,5;-19,67;4825220;150,7;-179,22;-3;4830684;148,71;175,72;15,22;4838732;-0,65;9,83;-7,51;4844456;2613303;5296;5464;8048;5724;24532;0,133658;7,481781861
-52,7;-163,63;8,15;4952008;-96,77;162,5;-19,67;4960032;150,7;-179,22;-3;4965924;148,71;175,72;15,22;4971672;-0,65;9,83;-7,51;4977620;2745222;8024;5892;5748;5948;25612;0,131919;7,58040919
-52,7;-163,63;8,15;5083844;-96,77;162,5;-19,67;5091408;150,7;-179,22;-3;5098732;148,71;175,72;15,22;5104508;-0,65;9,83;-7,51;5112592;2878822;7564;7324;5776;8084;28748;0,1336;7,48502994
-52,7;-163,63;8,15;5219240;-96,77;162,5;-19,67;5224568;150,7;-179,22;-3;5230304;148,71;175,72;15,22;5237532;-0,65;9,83;-7,51;5245584;3014969;5328;5736;7228;8052;26344;0,136147;7,345002093
-52,7;-163,63;8,15;5353088;-96,77;162,5;-19,67;5360196;150,7;-179,22;-3;5366104;148,71;175,72;15,22;5372096;-0,65;9,83;-7,51;5378224;3147261;7108;5908;5992;6128;25136;0,132292;7,559036072
-52,7;-163,63;8,15;5485028;-96,77;162,5;-19,67;5492584;150,7;-179,22;-3;5499432;148,71;175,72;15,22;5505244;-0,65;9,83;-7,51;5511216;3280355;7556;6848;5812;5972;26188;0,133094;7,513486709
-52,7;-163,63;8,15;5616724;-96,77;162,5;-19,67;5624292;150,7;-179,22;-3;5630336;148,71;175,72;15,22;5636864;-0,65;9,83;-7,51;5642836;3412393;7568;6044;6528;5972;26112;0,132038;7,573577304
-52,7;-163,63;8,15;5748056;-96,77;162,5;-19,67;5755092;150,7;-179,22;-3;5761016;148,71;175,72;15,22;5768084;-0,65;9,83;-7,51;5774060;3543514;7036;5924;7068;5976;26004;0,131121;7,626543422
-52,7;-163,63;8,15;5879300;-96,77;162,5;-19,67;5885604;150,7;-179,22;-3;5891116;148,71;175,72;15,22;5896496;-0,65;9,83;-7,51;5902576;3675616;6304;5512;5380;6080;23276;0,132102;7,569908101
