;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-50,77;-163,54;7,85;4553636;-95,61;162,23;-19,56;4560684;143,81;-179,16;-2,6;4566592;150,73;175,99;15,27;4572428;-0,66;9,88;-7,68;4580240;0;7048;5908;5836;7812;26604;;
-50,77;-163,54;7,85;4686172;-95,61;162,23;-19,56;4692300;143,81;-179,16;-2,6;4698980;150,73;175,99;15,27;4706908;-0,66;9,88;-7,68;4712940;2486377;6128;6680;7928;6032;26768;;
-50,77;-163,54;7,85;4821040;-95,61;162,23;-19,56;4826344;143,81;-179,16;-2,6;4832208;150,73;175,99;15,27;4839484;-0,66;9,88;-7,68;4844988;2620688;5304;5864;7276;5504;23948;0,134311;7,445406556
-50,77;-163,54;7,85;4952572;-95,61;162,23;-19,56;4960564;143,81;-179,16;-2,6;4966448;150,73;175,99;15,27;4972168;-0,66;9,88;-7,68;4978452;2753203;7992;5884;5720;6284;25880;0,132515;7,546315511
-50,77;-163,54;7,85;5084548;-95,61;162,23;-19,56;5092100;143,81;-179,16;-2,6;5099136;150,73;175,99;15,27;5106648;-0,66;9,88;-7,68;5114416;2885230;7552;7036;7512;7768;29868;0,132027;7,574208306
-50,77;-163,54;7,85;5222756;-95,61;162,23;-19,56;5228052;143,81;-179,16;-2,6;5234764;150,73;175,99;15,27;5241116;-0,66;9,88;-7,68;5247376;3023550;5296;6712;6352;6260;24620;0,13832;7,229612493
-50,77;-163,54;7,85;5354592;-95,61;162,23;-19,56;5362564;143,81;-179,16;-2,6;5369256;150,73;175,99;15,27;5376336;-0,66;9,88;-7,68;5383756;3155099;7972;6692;7080;7420;29164;0,131549;7,601730154
-50,77;-163,54;7,85;5489552;-95,61;162,23;-19,56;5495692;143,81;-179,16;-2,6;5501148;150,73;175,99;15,27;5508836;-0,66;9,88;-7,68;5516660;3290714;6140;5456;7688;7824;27108;0,135615;7,373815581
-50,77;-163,54;7,85;5624628;-95,61;162,23;-19,56;5629916;143,81;-179,16;-2,6;5637848;150,73;175,99;15,27;5643252;-0,66;9,88;-7,68;5650024;3425759;5288;7932;5404;6772;25396;0,135045;7,404939094
-50,77;-163,54;7,85;5756904;-95,61;162,23;-19,56;5764676;143,81;-179,16;-2,6;5770728;150,73;175,99;15,27;5779028;-0,66;9,88;-7,68;5786060;3556732;7772;6052;8300;7032;29156;0,130973;7,635161445
