"119.16 179.21 1.35 8343876 155.48 -174.50 -24.93 8350436 -150.78 178.80 -4.56 8356320 143.40 -173.87 -18.39 8362688 -0.57 5.56 -11.62 8369960" 6140779
"119.16 179.21 1.35 8477672 155.48 -174.50 -24.93 8483620 -150.78 178.80 -4.56 8489712 143.40 -173.87 -18.39 8495676 -0.57 5.56 -11.62 8501684" 6275781
"119.16 179.21 1.35 8608872 155.48 -174.50 -24.93 8614776 -150.78 178.80 -4.56 8620376 143.40 -173.87 -18.39 8626600 -0.57 5.56 -11.62 8632200" 6406799
"119.16 179.21 1.35 8739656 155.48 -174.50 -24.93 8745576 -150.78 178.80 -4.56 8751636 143.40 -173.87 -18.39 8758964 -0.57 5.56 -11.62 8766392" 6537805
"119.16 179.21 1.35 8871756 155.48 -174.50 -24.93 8877236 -150.78 178.80 -4.56 8883692 143.40 -173.87 -18.39 8889644 -0.57 5.56 -11.62 8897432" 6668808
"119.16 179.21 1.35 9002800 155.48 -174.50 -24.93 9010916 -150.78 178.80 -4.56 9018868 143.40 -173.87 -18.39 9024392 -0.57 5.56 -11.62 9031084" 6800305
"119.16 179.21 1.35 9139148 155.48 -174.50 -24.93 9144900 -150.78 178.80 -4.56 9151636 143.40 -173.87 -18.39 9158504 -0.57 5.56 -11.62 9164744" 6935725
"119.16 179.21 1.35 9271792 155.48 -174.50 -24.93 9277256 -150.78 178.80 -4.56 9283480 143.40 -173.87 -18.39 9289220 -0.57 5.56 -11.62 9296164" 7070385
"119.16 179.21 1.35 9402644 155.48 -174.50 -24.93 9408556 -150.78 178.80 -4.56 9414544 143.40 -173.87 -18.39 9422388 -0.57 5.56 -11.62 9430328" 7201373
"119.16 179.21 1.35 9536156 155.48 -174.50 -24.93 9543976 -150.78 178.80 -4.56 9552188 143.40 -173.87 -18.39 9558880 -0.57 5.56 -11.62 9564944" 7332893
"119.16 179.21 1.35 9672728 155.48 -174.50 -24.93 9678196 -150.78 178.80 -4.56 9685344 143.40 -173.87 -18.39 9691304 -0.57 5.56 -11.62 9699668" 7471403
"119.16 179.21 1.35 9805284 155.48 -174.50 -24.93 9812168 -150.78 178.80 -4.56 9818000 143.40 -173.87 -18.39 9824600 -0.57 5.56 -11.62 9831664" 7603336
"119.16 179.21 1.35 9937492 155.48 -174.50 -24.93 9945576 -150.78 178.80 -4.56 9951772 143.40 -173.87 -18.39 9957756 -0.57 5.56 -11.62 9963356" 7733854
"119.16 179.21 1.35 10069684 155.48 -174.50 -24.93 10077560 -150.78 178.80 -4.56 10083200 143.40 -173.87 -18.39 10088780 -0.57 5.56 -11.62 10094892" 7868847
"119.16 179.21 1.35 10200336 155.48 -174.50 -24.93 10207976 -150.78 178.80 -4.56 10214568 143.40 -173.87 -18.39 10222964 -0.57 5.56 -11.62 10230912" 8000003
