;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-51,45;-163,58;7,95;4554152;-95,87;162,22;-19,66;4561756;145,53;-179,13;-2,81;4568232;150,57;175,95;15,32;4582080;-0,65;9,84;-7,59;4611200;997;7604;6476;13848;29120;57048;;
-51,45;-163,58;7,95;4738300;-95,87;162,22;-19,66;4744468;145,53;-179,13;-2,81;4750160;150,57;175,95;15,32;4764796;-0,65;9,84;-7,59;4793916;2612047;6168;5692;14636;29120;55616;;
-51,45;-163,58;7,95;4921020;-95,87;162,22;-19,66;4926336;145,53;-179,13;-2,81;4932168;150,57;175,95;15,32;4946664;-0,65;9,84;-7,59;4975784;2792169;5316;5832;14496;29120;54764;0,180122;5,551792674
-51,45;-163,58;7,95;5102884;-95,87;162,22;-19,66;5108672;145,53;-179,13;-2,81;5114104;150,57;175,95;15,32;5129004;-0,65;9,84;-7,59;5158124;2976417;5788;5432;14900;29120;55240;0,184248;5,427467327
-51,45;-163,58;7,95;5285228;-95,87;162,22;-19,66;5291952;145,53;-179,13;-2,81;5299216;150,57;175,95;15,32;5312276;-0,65;9,84;-7,59;5341396;3156667;6724;7264;13060;29120;56168;0,18025;5,547850208
-51,45;-163,58;7,95;5468500;-95,87;162,22;-19,66;5476128;145,53;-179,13;-2,81;5481568;150,57;175,95;15,32;5496460;-0,65;9,84;-7,59;5525580;3341039;7628;5440;14892;29120;57080;0,184372;5,423817065
-51,45;-163,58;7,95;5652684;-95,87;162,22;-19,66;5658840;145,53;-179,13;-2,81;5664280;150,57;175,95;15,32;5679164;-0,65;9,84;-7,59;5708284;3525288;6156;5440;14884;29120;55600;0,184249;5,427437869
-51,45;-163,58;7,95;5835384;-95,87;162,22;-19,66;5840712;145,53;-179,13;-2,81;5848440;150,57;175,95;15,32;5861048;-0,65;9,84;-7,59;5890164;3709660;5328;7728;12608;29116;54780;0,184372;5,423817065
-51,45;-163,58;7,95;6017264;-95,87;162,22;-19,66;6022980;145,53;-179,13;-2,81;6030124;150,57;175,95;15,32;6043308;-0,65;9,84;-7,59;6072428;3889777;5716;7144;13184;29120;55164;0,180117;5,55194679
-51,45;-163,58;7,95;6199528;-95,87;162,22;-19,66;6206128;145,53;-179,13;-2,81;6211968;150,57;175,95;15,32;6226452;-0,65;9,84;-7,59;6255572;4073928;6600;5840;14484;29120;56044;0,184151;5,4303262
-51,45;-163,58;7,95;6382672;-95,87;162,22;-19,66;6388268;145,53;-179,13;-2,81;6394128;150,57;175,95;15,32;6408592;-0,65;9,84;-7,59;6437712;4254661;5596;5860;14464;29120;55040;0,180733;5,533023853
-51,45;-163,58;7,95;6564812;-95,87;162,22;-19,66;6572004;145,53;-179,13;-2,81;6579712;150,57;175,95;15,32;6592336;-0,65;9,84;-7,59;6621456;4438652;7192;7708;12624;29120;56644;0,183991;5,435048453
-51,45;-163,58;7,95;6748556;-95,87;162,22;-19,66;6754448;145,53;-179,13;-2,81;6761352;150,57;175,95;15,32;6774776;-0,65;9,84;-7,59;6803896;4623015;5892;6904;13424;29120;55340;0,184363;5,424081839
-51,45;-163,58;7,95;6931000;-95,87;162,22;-19,66;6936336;145,53;-179,13;-2,81;6942376;150,57;175,95;15,32;6956660;-0,65;9,84;-7,59;6985780;4803423;5336;6040;14284;29120;54780;0,180408;5,542991442
-51,45;-163,58;7,95;7112880;-95,87;162,22;-19,66;7118636;145,53;-179,13;-2,81;7124504;150,57;175,95;15,32;7138972;-0,65;9,84;-7,59;7168092;4987499;5756;5868;14468;29120;55212;0,184076;5,432538734
