-35.98 -171.39 2.80 4454640162.99 -175.69 -28.28 4461004-161.58 179.04 -5.94 446660041.43 174.52 2.08 4474424-0.54 5.69 -10.76 448028,0
-35.98 -171.39 2.80 4586092162.99 -175.69 -28.28 4593380-161.58 179.04 -5.94 459942041.43 174.52 2.08 4606196-0.54 5.69 -10.76 461326,2379250
-35.98 -171.39 2.80 4721512162.99 -175.69 -28.28 4727240-161.58 179.04 -5.94 473516441.43 174.52 2.08 4742328-0.54 5.69 -10.76 474867,2513896
-35.98 -171.39 2.80 4854660162.99 -175.69 -28.28 4860056-161.58 179.04 -5.94 486744441.43 174.52 2.08 4875232-0.54 5.69 -10.76 488109,2648722
-35.98 -171.39 2.80 4986720162.99 -175.69 -28.28 4994468-161.58 179.04 -5.94 500006841.43 174.52 2.08 5006808-0.54 5.69 -10.76 501391,2780555
-35.98 -171.39 2.80 5121284162.99 -175.69 -28.28 5127112-161.58 179.04 -5.94 513315641.43 174.52 2.08 5138620-0.54 5.69 -10.76 514656,2915408
-35.98 -171.39 2.80 5254276162.99 -175.69 -28.28 5259672-161.58 179.04 -5.94 526681241.43 174.52 2.08 5275188-0.54 5.69 -10.76 528110,3046196
-35.98 -171.39 2.80 5386864162.99 -175.69 -28.28 5394684-161.58 179.04 -5.94 540199241.43 174.52 2.08 5408096-0.54 5.69 -10.76 541612,3181191
-35.98 -171.39 2.80 5524604162.99 -175.69 -28.28 5529996-161.58 179.04 -5.94 553605641.43 174.52 2.08 5543212-0.54 5.69 -10.76 554957,3316846
-35.98 -171.39 2.80 5656648162.99 -175.69 -28.28 5662040-161.58 179.04 -5.94 566838841.43 174.52 2.08 5676136-0.54 5.69 -10.76 568202,3451287
-35.98 -171.39 2.80 5788116162.99 -175.69 -28.28 5795432-161.58 179.04 -5.94 580146841.43 174.52 2.08 5808028-0.54 5.69 -10.76 581543,3582766
-35.98 -171.39 2.80 5921272162.99 -175.69 -28.28 5928956-161.58 179.04 -5.94 593611241.43 174.52 2.08 5942716-0.54 5.69 -10.76 594942,3714296
-35.98 -171.39 2.80 6057076162.99 -175.69 -28.28 6062472-161.58 179.04 -5.94 606832041.43 174.52 2.08 6076472-0.54 5.69 -10.76 608235,3849200
-35.98 -171.39 2.80 6189044162.99 -175.69 -28.28 6195436-161.58 179.04 -5.94 620102841.43 174.52 2.08 6208192-0.54 5.69 -10.76 621534,3983622
-35.98 -171.39 2.80 6320732162.99 -175.69 -28.28 6328352-161.58 179.04 -5.94 633595241.43 174.52 2.08 6341864-0.54 5.69 -10.76 634936,4115240
-35.98 -171.39 2.80 6456928162.99 -175.69 -28.28 6463124-161.58 179.04 -5.94 647014041.43 174.52 2.08 6478188-0.54 5.69 -10.76 648520,4250716
-35.98 -171.39 2.80 6591308162.99 -175.69 -28.28 6598224-161.58 179.04 -5.94 660382041.43 174.52 2.08 6609872-0.54 5.69 -10.76 661788,4385533
-35.98 -171.39 2.80 6723384162.99 -175.69 -28.28 6731368-161.58 179.04 -5.94 673869641.43 174.52 2.08 6747160-0.54 5.69 -10.76 675258,4516399
-35.98 -171.39 2.80 6860296162.99 -175.69 -28.28 6865700-161.58 179.04 -5.94 687307241.43 174.52 2.08 6879860-0.54 5.69 -10.76 688806,4655814
-35.98 -171.39 2.80 6993552162.99 -175.69 -28.28 7000888-161.58 179.04 -5.94 700649241.43 174.52 2.08 7012392-0.54 5.69 -10.76 701969,4786826
-35.98 -171.39 2.80 7125296162.99 -175.69 -28.28 7133220-161.58 179.04 -5.94 713928441.43 174.52 2.08 7147460-0.54 5.69 -10.76 715288,4917838
-35.98 -171.39 2.80 7260852162.99 -175.69 -28.28 7266824-161.58 179.04 -5.94 727482841.43 174.52 2.08 7281064-0.54 5.69 -10.76 728876,5056910
-35.98 -171.39 2.80 7394740162.99 -175.69 -28.28 7401532-161.58 179.04 -5.94 740831641.43 174.52 2.08 7414964-0.54 5.69 -10.76 742123,5188841
-35.98 -171.39 2.80 7526744162.99 -175.69 -28.28 7534864-161.58 179.04 -5.94 754046441.43 174.52 2.08 7548512-0.54 5.69 -10.76 755392,5323262
-35.98 -171.39 2.80 7661028162.99 -175.69 -28.28 7667700-161.58 179.04 -5.94 767392041.43 174.52 2.08 7680800-0.54 5.69 -10.76 768888,5454769
-35.98 -171.39 2.80 7795676162.99 -175.69 -28.28 7801540-161.58 179.04 -5.94 780950041.43 174.52 2.08 7816692-0.54 5.69 -10.76 782222,5589950
-35.98 -171.39 2.80 7927604162.99 -175.69 -28.28 7935120-161.58 179.04 -5.94 794198441.43 174.52 2.08 7949808-0.54 5.69 -10.76 795524,5720956
